idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
4015,TELA ONDULADA FIO 12 MALHA 35 *#*,F,9999,9999,76,GERAL,GERAL,P.E.
4016,TELA ONDULADA FIO 12 MALHA 40 *,F,9999,9999,76,GERAL,GERAL,P.E.
4019,TELA ONDULADA FIO 14 MALHA 10 *,F,9999,9999,76,GERAL,GERAL,P.E.
4022,TELA ONDULADA FIO 14 MALHA 10 X 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
4020,TELA ONDULADA FIO 14 MALHA 15 *,F,9999,9999,76,GERAL,GERAL,P.E.
4021,TELA ONDULADA FIO 14 MALHA 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
3979,TELA ONDULADA FIO 14 MALHA 25,F,9999,9999,76,GERAL,GERAL,P.E.
4024,TELA ONDULADA FIO 16 MALHA 10 *,F,9999,9999,76,GERAL,GERAL,P.E.
4025,TELA ONDULADA FIO 16 MALHA 15 *,F,9999,9999,76,GERAL,GERAL,P.E.
4026,TELA ONDULADA FIO 16 MALHA 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
4028,TELA ONDULADA FIO 18 MALHA 15 *,F,9999,9999,76,GERAL,GERAL,P.E.
5872,TELA ONDULADA FIO 18 MALHA 8,F,9999,9999,76,GERAL,GERAL,P.E.
2096,TELA ONDULADA FIO 8 MALHA 25 *,F,9999,9999,76,GERAL,GERAL,P.E.
3998,TELA ONDULADA FIO 8 MALHA 30 *,F,9999,9999,76,GERAL,GERAL,P.E.
3999,TELA ONDULADA FIO 8 MALHA 40 *,F,9999,9999,76,GERAL,GERAL,P.E.
4000,TELA ONDULADA FIO 8 MALHA 50 *,F,9999,9999,76,GERAL,GERAL,P.E.
11207,TELHA  GALV TRAP PINTADA  BRANCA 1 FACE 3300MM EMP2,F,9999,9999,76,GERAL,GERAL,P.E.
123133671,"TELHA ENC GALV 0,43/ 0,98 MT",F,9999,9999,76,GERAL,GERAL,P.E.
123133937,"TELHA ENC GALV 0,50/ 0,98 MT",F,9999,9999,76,GERAL,GERAL,P.E.
123133993,TELHA ENC GALV TRAP PINTADA BRANCA 01 FACE,F,9999,9999,76,GERAL,GERAL,P.E.
123133895,TELHA ENC GALV TRAP PINTADA BRANCA 02 FACES,F,9999,9999,76,GERAL,GERAL,P.E.
10975,TELHA ENC PINTADA LARANJA 2 FACES - EMP2,F,9999,9999,76,GERAL,GERAL,P.E.
123133939,TELHA ENC TERMO ISOPOR,F,9999,9999,76,GERAL,GERAL,P.E.
123134109,TELHA ENC TERMO ISOPOR PINTADA  CORES 1 FACE,F,9999,9999,76,GERAL,GERAL,P.E.
5729,"TELHA ENC TERMO ISOPOR PINTADA 1,020 MT (30 DIAS) CORES 2 FA",F,9999,9999,76,GERAL,GERAL,P.E.
123133673,TELHA ENC TERMO ISOPOR PINTADA BRANCO 1 FACE -,F,9999,9999,76,GERAL,GERAL,P.E.
123133938,TELHA ENC TERMO ISOPOR PINTADA BRANCO 2 FACES -,F,9999,9999,76,GERAL,GERAL,P.E.
5815,TELHA FORRO ISOPOR PINTADA 2 FACE BRANCO MT *#,F,9999,9999,76,GERAL,GERAL,P.E.
10973,TELHA GALV TRAP PINTADA PRETA 01 FACE MT,F,9999,9999,76,GERAL,GERAL,P.E.
12067,TELHA SIMPLES 35/1050 3 METROS,F,9999,9999,76,GERAL,GERAL,P.E.
10892,TELHA TERMO ACÚSTICA MT COM TRANSPASSE DE 30CM,F,9999,9999,76,GERAL,GERAL,P.E.
10630,"TELHA TRAPEZIO 25MM X 1020MM X 0,5MM RAL 9006",F,9999,9999,76,GERAL,GERAL,P.E.
10280,AGUA SANITARIA,F,9999,9999,9999,GERAL,GERAL,GERAL
10079,"AGUA SANITARIA 2,5% 5L",F,9999,9999,9999,GERAL,GERAL,GERAL
10160,"AGUA SANITARIA 2,5% 5L MAROX",F,9999,9999,9999,GERAL,GERAL,GERAL
123134062,AJUSTE FINANCEIRO,F,9999,9999,9999,GERAL,GERAL,GERAL
10077,ALCOOL LIQUIDO 70% INPM 5L MONTENEGRO,F,9999,9999,9999,GERAL,GERAL,GERAL
1000006,ALUGUEIS,F,9999,9999,9999,GERAL,GERAL,GERAL
10035,BOBINA 57 X 30 1 VIA MAQUI CALC,F,9999,9999,9999,GERAL,GERAL,GERAL
10045,BOBINA TERMICA BRANCA 80 X40 48G,F,9999,9999,9999,GERAL,GERAL,GERAL
10067,BOM AR LAVANDA 360 ML,F,9999,9999,9999,GERAL,GERAL,GERAL
10270,CADERNO UNIVERSITARIO,F,9999,9999,9999,GERAL,GERAL,GERAL
10116,CALCULADORA  BOBINA HR 150 CASIO,F,9999,9999,9999,GERAL,GERAL,GERAL
10039,CALCULADORA BOBINA HR 150 CASIO O NC,F,9999,9999,9999,GERAL,GERAL,GERAL
10114,CALCULADORA BPBINA HR150 CASO,F,9999,9999,9999,GERAL,GERAL,GERAL
5590,CARRINHO DE MAO 80L/ 150KG - TRATOR,F,9999,9999,9999,GERAL,GERAL,GERAL
10063,CLIPS 2/0 CX 500 GALV REF 1006-3 BACCHI,F,9999,9999,9999,GERAL,GERAL,GERAL
10264,CLORO ATIVO 500 VEJA,F,9999,9999,9999,GERAL,GERAL,GERAL
1000008,COMBUSTIVEIS,F,9999,9999,9999,GERAL,GERAL,GERAL
1000005,COMPLEMENTO DE IMPOSTO,F,9999,9999,9999,GERAL,GERAL,GERAL
1000012,CONHECIMENTO DE FRETE,F,9999,9999,9999,GERAL,GERAL,GERAL
10041,CORRETIVO LIQ ATIMA  18 ML RADEX,F,9999,9999,9999,GERAL,GERAL,GERAL
1000003,CREDITO DE ICMS,F,9999,9999,9999,GERAL,GERAL,GERAL
10776,"CUMEEIRA GALVALUME 0,65  1M X 30CM X 30CM *",F,9999,9999,9999,GERAL,GERAL,GERAL
144,CUMEEIRA PINTADA GALVALUME 1M X 30CM X 30CM *,F,9999,9999,9999,GERAL,GERAL,GERAL
10158,DESINFETANTE BRUTO 5L LYSOFORM,F,9999,9999,9999,GERAL,GERAL,GERAL
10278,DETERGENTE 500 ML,F,9999,9999,9999,GERAL,GERAL,GERAL
10162,DETERGENTE 500ML LIMÃO VITRAL,F,9999,9999,9999,GERAL,GERAL,GERAL
1000000,DEVOLUCAO DE ICMS DA SUBSTITUICAO TRIBUTARIA,F,9999,9999,9999,GERAL,GERAL,GERAL
1000014,ENERGIA ELETRICA,F,9999,9999,9999,GERAL,GERAL,GERAL
