idsubproduto,descricaoproduto
1442,"CHUMBADOR AF 56055 - 3/8 X 5/16 (5,5)"
1443,CHUMBADOR AF 56080 - 3/8X5/16 (8.0)
5969,CHUMBADOR CBA 5/8X115 C/PR *
5696,CHUMBADOR CBA 56075 *
11303,CHUMBADOR QUIMICO 300ML - SILVA
6116,CHUMBADOR QUIMICO WURTH 300
1457,CHUMBADOR TB 12070 *
1462,CHUMBADOR TB 12110
1463,CHUMBADOR TB 14045 *
1458,CHUMBADOR TB 14060 *
1456,CHUMBADOR TB 38055 *
1460,CHUMBADOR TB 38070 *
1459,CHUMBADOR TB 38120 *
1455,CHUMBADOR TB 56050 *
1454,CHUMBADOR TB 56080 *
5942,JAQUETA/CONE P/CHUMB 1/4 *
5945,PROLONGADOR CHUMBADOR 1/4
11147,CAMPAINHA SEM FIO BIVOLT FX CAD 3
471,ESCAPULA 10MM *
1379,GANCHO REDE
1476,GANCHO ZINCADO 10 MM *
240,PITAO ZINCADO 10'' *
239,"PITAO ZINCADO 8"" *"
613,GRAMPO TIPO U 4 X 3/8*
10094,ARRUELA LISA 5/16
10100,CALÇO 2 FUROS PARA HASTE
10164,GOIVA ALUMINIO PARA HASTE
10096,GOIVA GALVANIZADA PARA HASTE
601,HASTE DE ALUMINIO 15CM *
604,HASTE DE FERRO ZINCADO 15CM *
10166,PORCA ALUMINIO 1/4 PARA HASTE
10098,PORCA GALVANIZADA  1/4 PARA HASTE
3391,PARAFUSO AUTO BROCANTE 12 X 1.1/2 CABECA 5/16 *
4855,"PARAFUSO AUTO BROCANTE 12 X 2"" CABECA 5/16 *"
2465,PARAFUSO AUTO BROCANTE 12 X 3 1/2 CABECA 5/16 *
6190,PARAFUSO AUTO BROCANTE 12 X 3 CABECA 5 /16
3633,PARAFUSO AUTO BROCANTE 12 X 3/4 CABECA 5/16 *
2363,PARAFUSO AUTO BROCANTE 14 X 7/8 CABECA 3/8 * (COSTURA)
1608,"PARAFUSO AUTO BROCANTE 4,2 X 13 (FORRO) *"
10762,"PERFIL U ENRIJ 150 X 60 X 20 X 2,65MM  EMP2"
11783,PERFIL U ENRIJ 150 X 60 X 20 X 20 X 3/16 EMP2
846,PARAFUSO AUT-ATAR ROSC TP B 2.9 X 13 C. CH
2456,PARAFUSO ROSC MAQ CHATA 1/4 X 1 *
2457,PARAFUSO ROSC MAQ CHATA 1/4 X 1.1/2 *
2458,PARAFUSO ROSC MAQ CHATA 1/4 X 1.1/4 *
2461,PARAFUSO ROSC MAQ CHATA 1/4 X 2'' *
2467,PARAFUSO ROSC MAQ CHATA 1/4 X 3/8 *
2471,PARAFUSO ROSC MAQ CHATA 3/16 X 1'' *
2472,PARAFUSO ROSC MAQ CHATA 3/16 X 1.1/2 *
2473,PARAFUSO ROSC MAQ CHATA 3/16 X 1.1/4 *
2485,PARAFUSO ROSC MAQ CHATA 3/16 X 5/16 *
2486,PARAFUSO ROSC MAQ CHATA 3/16 X 5/8 *
2598,PARAFUSO ROSC MAQ CHATA 5/16 X 1 *
2570,PARAFUSO ROSC MAQ CHATA 5/16 X 1.1/2 *
2571,PARAFUSO ROSC MAQ CHATA 5/16 X 1.1/4 *
2581,PARAFUSO ROSC MAQ CHATA 5/16 X 5/8 *
2594,PARAFUSO ROSC MAQ CHATA 5/32 X 5/16 *
1800,PARAFUSO AUT-ATAR TP B 2.9 X 13 C. PAN *
1853,PARAFUSO AUT-ATAR TP B 6.3 X 45 C.PAN *
2566,PARAFUSO ROSC MAQ REDONDA 1/4 X 1'' *
2567,PARAFUSO ROSC MAQ REDONDA 1/4 X 1.1/2'' *
2502,PARAFUSO ROSC MAQ REDONDA 3/16 X 1'' *
2503,PARAFUSO ROSC MAQ REDONDA 3/16 X 1.1/2'' *
2519,PARAFUSO ROSC MAQ REDONDA 5/16 X 1'' *
2520,PARAFUSO ROSC MAQ REDONDA 5/16 X 1.1/2'' *
11187,ARRUELA LISA 1/4 INOX 304
2615,PARAFUSO DE TELHA 5/16 X 110 COMPLETO *
2548,PARAFUSO SEXTAVADO 1/4 X 1 *
2549,PARAFUSO SEXTAVADO 1/4 X 1.1/2 *
2550,PARAFUSO SEXTAVADO 1/4 X 1.1/4 *
2552,PARAFUSO SEXTAVADO 1/4 X 2'' *
2559,PARAFUSO SEXTAVADO 1/4 X 5/8 *
2561,PARAFUSO SEXTAVADO 3/16 X 1'' *
2562,PARAFUSO SEXTAVADO 3/16 X 1.1/2 *
2563,PARAFUSO SEXTAVADO 3/16 X 1.1/4 *
1664,PARAFUSO SEXTAVADO 3/16 X 5/8 *
2643,PARAFUSO SEXTAVADO 3/8 X 4 *
2650,PARAFUSO SEXTAVADO 5/16 X 1'' *
2651,PARAFUSO SEXTAVADO 5/16 X 1.1/2 *
2652,PARAFUSO SEXTAVADO 5/16 X 1.1/4 *
2657,PARAFUSO SEXTAVADO 5/16 X 5/8 *
11183,PARAFUSO SEXTAVADO RI 1/4 X4.1/2 UNC INOX 304
2621,PARAFUSO SEXTAVADO SOBREPOR 1/4 X 40 *
10390,PARAFUSO SEXTAVADO SOBREPOR 3/16 X 50  CISER
2625,PARAFUSO SEXTAVADO SOBREPOR 3/16 X 50 *
2628,PARAFUSO SEXTAVADO SOBREPOR 5/16 X 40 *
2599,PARAFUSO SEXTAVADO UNC 1/2 X 1'' *
2600,PARAFUSO SEXTAVADO UNC 1/2 X 1.1/2 *
2608,PARAFUSO SEXTAVADO UNC 1/2 X 3/4 *
11185,PORCA SEXTAVADA 1/4 UNC INOX 304
3130,"PARAFUSO FRANCES 1/4 X 1"" *"
1594,PARAFUSO FRANCES 1/4 X 1.1/2 *
640,PARAFUSO FRANCES 1/4 X 2'' *
1661,PARAFUSO FRANCES 1/4 X 3/4 *
1703,PARAFUSO FRANCES 3/16 X 1'' *
1704,PARAFUSO FRANCES 3/16 X 1.1/2 *
1702,PARAFUSO FRANCES 3/16 X 3/4 *
1590,PARAFUSO FRANCES 5/16 X 1'' *
1741,PARAFUSO FRANCES 5/16 X 1.1/2 *
1662,PARAFUSO FRANCES 5/16 X 3/4 *
2388,PARAFUSO MADEIRA (FERRO) 3.5 X 12 *
2011,ARRUELA DE FUNILEIRO 1/2 *
441,ARRUELA DE PRESSAO 1/2 *
123133346,ARRUELA LISA 1 GALV
123133347,ARRUELA LISA 1/2 GALV
3322,BOLA C/ PORCA 3/8 *
3607,JUNCAO SEXTAVADA 1/4 *
123133603,PORCA BORBOLETA 1/2 *
6049,PORCA SEXTAVADA 2H 5/8
3431,PORCA SEXTAVADA AUTO TRAVANTE 3/8 *
123133644,PORCA SEXTAVADA GALVANIZADA 1'' *
123133645,PORCA SEXTAVADA GALVANIZADA 1/2'' *
123133647,PORCA SEXTAVADA GALVANIZADA 3/16'' *
123133650,PORCA SEXTAVADA GALVANIZADA 5/16'' *
123133653,PORCA SEXTAVADA GALVANIZADA 7/16'' *
5697,PREGO ACO C/ CABECA 10 X 10 -KG *
5699,PREGO ACO C/ CABECA 15 X 15 PCT C/100
5649,PREGO ACO C/ CABECA 17 X 27 KG *
5745,PREGO ACO C/ CABECA 18 X 30 KG *
1686,PREGO ACO C/ CABECA PCT 17 X 21 *
3424,PREGO C/ 2 CABECAS 17 X 27 *
2676,PREGO C/ CABECA 10 X 10 *
360,PREGO DE TELHA 18X30 PCT C/500G
2691,PREGO S/ CABECA 10 X 10 *
308,CABO DE SOLDA 16 MM *
123133457,CABO DE SOLDA FINO 25 MM *
123133458,CABO DE SOLDA GROSSO 35 MM *
1261,CONECTOR P/ CABO DE SOLDA 13MM 35-70 MACH/FEM
2167,CONECTOR P/ CABO DE SOLDA 9 MM 10 - 25 A MACH/FEM
590,GARRA NEGATIVA 300 *
5615,GARRA NEGATIVA 500A *
11865,GARRA NEGATIVA 500A VONDER
11777,GARRA NEGATIVA TIPO C - 1200A
4553,PASTA PARA SOLDA 110 GRAMAS *
12021,PORTA ELETRODO 1000A *
992,PORTA ELETRODO 200A LEDAN 2002
1205,TRINCAL PARA SOLDA LATÃO / BRONZE 250 GR *
11937,CHUMBADORQ. BICOMPONENTEAMPOLA 10MM
11843,CHUMBADORQ. BICOMPONENTEAMPOLA12MM
10979,CHUMBADORQ. BICOMPONENTEAMPOLA12MM EMP2
5796,"ELETRODO 2,00 MM DENVER"
6044,"ELETRODO 2,00 MM GUEPAR"
6191,"ELETRODO 2,50 MM WELD WEST"
6057,"ELETRODO 6013 2,50 MM ARCAFER"
5748,"ELETRODO DENVER 6013 3,25 MM *"
6133,"ELETRODO DENVER 7018 - 2,50"
6134,"ELETRODO DENVER 7018 - 3,25"
10087,"ELETRODO DENVER INOX 3,25MM 308"
2290,"ELETRODO E - NIFE FERRO FUNDIDO 2,50MM *"
11161,"ELETRODO E - NIFE FERRO FUNDIDO 2,50MM * ESAB"
6131,"ELETRODO ELETRON 2,5"
6132,"ELETRODO ELETRON 3,25"
123133585,ELETRODO ESAB 6013 OK 46.00 2.5 MM *
123133588,ELETRODO ESAB 7018 OK 4804 2.5 MM *
3621,"ELETRODO ESAB OK 6130 INOX 2,50 MM (308)"
5570,ELETRODO ESAB OK SERRALHEIRO 2.50 MM *
11915,ELETRODO ESAB OK SERRALHEIRO 3.25 MM EMP2
3207,"ELETRODO GRAFITE 10,00 MM X 305 MM *"
3188,"ELETRODO INOX 2,00MM 308"
3928,"ELETRODO TUNGSTENIO 1,6 X 150 MM (PARA FERRO) *"
4564,"ELETRODO TUNGSTENIO 2,4 X 150 MM (PARA FERRO) *"
4565,"ELETRODO TUNGSTENIO 3,2 X 150 MM (PARA FERRO) *"
436,ARAME DE LATAO FINO 1/16 KG *
2175,ARAME DE LATAO GROSSO 1/8 KG *
424,"ARAME DE SOLDA FINA 1,59 MM KG *"
425,"ARAME DE SOLDA GROSSA 2,38 MM KG *"
3144,BICO DE CORTE 1502 N. 2 OXIGENIO/ACETILENO *
2311,BICO DE CORTE SERIE 1503 N 04 GLP * -
1221,BICO DE MACARICO 200/2 *
10908,CARTUCHO DE GAS 227G
3209,EMENDA P/ MANGUEIRA DE MACARICO *
5994,GAS DE MACARICO 400GR
3506,ISQUEIRO CONCHA P/ MACARICO *
11749,MACARICO DE AQUECIMENTO CG300 CARBOGRAFITE
2306,MACARICO DE CORTE 3 CANOS *
2304,MACARICO FMA-200 *
2305,MACARICO FMA-201 *
5992,MACARICO GAS PORTATIL
3737,MACARICO LANCA CHAMAS
11329,MACARICO PORTATIL 10 IT BR TORCH
11321,MACARICO PORTATIL 5 IT BR TORCH
11323,MACARICO PORTATIL 6 IT BR TORCH
11325,MACARICO PORTATIL 9 IT BR TORCH
11327,MACARICO PORTATIL 9 IT PLUS BR TORCH
737,MANGUEIRA 5/16 GEMEA OXIGENIO E ACETILENO *
3557,MANOMETRO P/ REG PRESSAO ACETILENO 0/3 KGF *
3560,MANOMETRO P/ REG PRESSAO OXIGENIO 0/16 KGF *
3208,NIPEL COM PORCA P/MANG. DE MAÇARICO OXI/ACET *
4709,REGULADOR CO² FRGC 150 N *
2302,REGULADOR FRA-103B ACETILENO *
3681,REGULADOR FRAG-130N ARGONIO *
2303,REGULADOR FRG-13B GLP 13KG *
2300,REGULADOR FRG-45D GLP 45KG *
2301,REGULADOR FRO-116N OXIGENIO *
11331,SILVA FIXXSIL ULTRA HIGH TACK BRANCO
1012,SOLDA P/ RADIO EMAVI 1MM X + - 4M *
3140,VALVULA CORTA CHAMA REGULADOR ACET/GLP B2023 *
3139,VALVULA CORTA CHAMA REGULADOR OXIGENIO B2021 *
3148,VALVULA CORTAR CHAMA MAÇ. ACET/GLP B- 2024 *
3251,VALVULA CORTAR CHAMA MAÇ. OXIGENIO 2022 *
2309,VALVULA ESFERA DUPLA SAIDA ACET/GLP FDS-231 *
2308,VALVULA ESFERA DUPLA SAIDA OXIGENIO FDS-230 *
3396,ARAME GALVANIZADO REV PVC AZUL F.12 1KG
10508,"ARAME MIG 0,8 MM 1 KG * SEM GAS"
3398,"ARAME MIG 0,8 MM 15 KG *"
10512,"ARAME MIG 0,8 MM 5 KG P/ MAQ. COM GAS"
3397,"ARAME MIG GERDAU 1,0 MM 15 KG *"
1489,"ARAME MIG TMX 1,2 MM 15 KG"
10510,"ARAME MIG VONDER 0,8 MM 5 KG * P/ MAQ. SEM GAS"
4907,"ARAME PARA SOLDA TIG S -3 1,59 MM KG *"
3635,"BICO DE CONTATO M6 E-CU 0,80MM  ( MIG ) *"
3636,"BICO DE CONTATO M6 E-CU 1,0 MM D8 X 28MM ( MIG ) *"
4882,"BOCAL CONICO NA 12,5 MM ( MIG / MAG ) *"
4492,DIFUSOR DE GAS MB 24 KD ( MIG / MAG ) *
3966,NUCLEO ADAPTADOR P/ARAME MIG *
4885,"PINCA D2,4 MM X 50 MM P/TOCHA TIG 26 V ( BINZEL ) *"
4886,"PINCA D3,2 MM X 50 MM P/TOCHA TIG 26 V ( BINZEL ) *"
4883,PORTA BICO M 6 MB 23/24 KD 26 MM ( MIG / MAG ) *
4888,"PORTA PINCA D2,4 MM X 50 MM TIG 26 V ( BINZEL ) *"
4887,"PORTA PINCA D3,2 MM X 50 MM TIG 26 V ( BINZEL ) *"
4884,TOCHA MIG/MAG MB 24 KD 3 METROS ( BINZEL ) *
4563,"TOCHA TIG 26 V 3,5 M CONECTOR 13MM ( BINZEL ) *"
1337,ARALDITE PROFISSIONAL 23GR *
11143,AS BASTAO DE COLA 11.2X100MM
11231,COLA TUDO W-MAX BRANCO 40ML/70G
11309,DESENGRIPANTE SPRAY 300ML -  SILVA
361,DUREPOXI 100GR *
5856,ESPUMA EXPANSIVA 500ML *
11299,ESPUMA EXPANSIVA 500ML SILVA
3215,FITA ADESIVA ALUM. 100CM X 10M SIKA (MANTA)
10212,FITA ADESIVA ALUM. 10CM X 10M BARONE *
12015,FITA ADESIVA ALUM. 10CM X 10M BRASILIT (MANTA)
3211,FITA ADESIVA ALUM. 10CM X 10M KIMANTA
12019,FITA ADESIVA ALUM. 15CM X 10M BRASILIT  DUPLICADO
12007,FITA ADESIVA ALUM. 30CM X 10M VIAFLEX (MANTA)
12027,FITA ADESIVA ALUM. 45CM X 10M DRYKO (MANTA)
3699,FITA ADESIVA DESMARCACAO DE SOLO 50MM X 15M ADERE
2235,FITA CREPE 18 MM X 50 MT *
565,FITA ISOLANTE 18 MM (10 METROS) *
564,FITA ISOLANTE 19 MM ( 5 METROS) *
566,FITA ISOLANTE 19 MM (20 METROS) *
2294,FITA ISOLANTE ALTA TENSAO 23BR 19 MM X 10M *
567,FITA VEDAROSCA 12MM X 10M *
11803,FIXA TUDO BRANCO - BRASCOLA 80G
10632,GUEPAR BONDER 20G
10658,MACACO HIDRAULICO TIPO GARRAFA 2TON
10660,MACACO JACARE  2 TON
763,MASSA P/ CALAFETAR CINZA 350G *
3259,MASSA PLASTICA IBERE 400 GRAMAS BRANCA *
11311,PREGO BUCHA NYLON 6X38 - SILVA
11307,SELANTE ESTRUTURAL 935 BRANCO - SILVA
5650,SIKADUR EPOXI C/1KG *
3329,SIKAFLEX CINZA 300ML *
6114,SILICONE ACETICO BRANCO
3412,SILICONE BISNAGA 50 GR BRANCO *
11291,SILICONE BRANCO 250G SILVA
11305,SILICONE PROMOÇÃO
10239,SILICONE PU 40 PRETO 400G
11301,SILICONE PU ALUZINCO CINZA - SILVA
10172,SILICONE PU BRANCO  400G WURTH
11295,SILICONE PU FLEX 40 BRANCO - SILVA
11949,SILICONE VIDRO E ALUMINIO INCOLOR - SILVA
2345,SUPER BONDER 3GR *
3774,VEDA CALHA ALUMINIO CARTUC 280G - BRASCOLA
10218,VEDA CALHA ALUMINIO MUNDIAL PRIME
10456,VEDA CALHA CINZA - SILVA
5677,ANTICORROSIVO *
5672,CANTONEIRA 2 X 5/16
3252,GRAXA LUBRIFICANTE 100GR *
621,GRAXA LUBRIFICANTE 200 GR *
284,GRAXA LUBRIFICANTE 400 GR *
10478,OLEO SOLUVEL 1 LITRO VONDER
6194,OLEO TIPO SINGER
3942,VASELINA SÓLIDA 90 GR *
1956,ANTI RESPINGO C/ SILICONE LATA
5991,BATIDA DE PEDRA CARPLAST 900ML PRETA *
123133455,CARBURETO 50 X 80 *
5878,CONVERTEDOR DE FERRUGEM 500ML
5657,PRIMER P/ MANTA 1L *
4715,REMOVEDOR DE FERRUGENS 250ML WMAX
2299,SILICONE SPRAY 300G SILVA
2257,AGUARRAS 900 ML
2258,QUEROSENE 1000 ML *
2111,REDUTOR 5LT *
289,REDUTOR 900ML *
3628,SODA CAUSTICA 300 GRAMAS ( BRADOC ) *
11177,DILUENTE EPOXI 1L  -  AFETINTAS
12081,"DUPLA FUNÇÃO BRANCO 0,9 LT 701101"
12083,"DUPLA FUNÇÃO BRANCO 3,6 LT 701101"
12077,"DUPLA FUNÇÃO CINZA 0,9 LT 1096"
12079,"DUPLA FUNÇÃO CINZA 3,6 LT 1096"
12073,"DUPLA FUNÇÃO CINZA ESCURO 0,9 LT 1908"
12075,"DUPLA FUNÇÃO CINZA ESCURO 3,6 LT 1908"
11171,"ESMALTE EPOXI AMARELO SEGURANÇA  2,7L  - AFETINTAS"
11165,"ESMALTE EPOXI BRANCO N9,5  2,7L  - AFETINTAS"
11169,"ESMALTE EPOXI CINZA CLARO N6,5  2,7L  - AFETINTAS"
11167,"ESMALTE EPOXI PRETO N1  2,7L  - AFETINTAS"
2279,"FERROLACK 0,9L BRANCO *"
10255,"GALVANITEX CINZA CLARO FOSCO 0,9"
10257,"GALVANITEX CINZA CLARO FOSCO 3,6"
3777,"GALVOPRIMER CORAL 0,9 LITRO BRANCO *"
3778,"GALVOPRIMER CORAL 3,6 LITRO BRANCO *"
221,HAMMERIT S/ FERRUGEM 0.8 BRANCO BRILH
220,HAMMERIT S/ FERRUGEM 0.8 CINZA CLARO BRILH
224,HAMMERIT S/ FERRUGEM 2.4 BRANCO BRILH
223,HAMMERIT S/ FERRUGEM 2.4 CINZA CLARO BRILH
10778,TINTA ESMALTE CORALIT ULTRA RESISTENCIA
10322,TINTA SPRAY METALICO COBRE
10324,TINTA SPRAY METALICO CROMADO
10328,TINTA SPRAY USO GERAL ALUMINIO
10330,TINTA SPRAY USO GERAL AMARELO
10334,TINTA SPRAY USO GERAL BRANCO BRILHO
10336,TINTA SPRAY USO GERAL BRANCO FOSCO
10999,"TRIPLA ACAO BRANCO 0,9LT  - FERROBASE PROMO"
11001,"TRIPLA ACAO BRANCO 3,6LT  - FERROBASE"
11003,"TRIPLA ACAO CINZA 0,9LT  - FERROBASE"
1116,ZARCAO SOLVENTEX 1/4 551 CINZA *
1113,ZARCAO SOLVENTEX 1/4 564 VERDE
1114,ZARCAO SOLVENTEX 1/4 990 VERM *
3600,ZARCAO SOLVENTEX 18L 564 VERDE *
1115,ZARCAO SOLVENTEX 9002 ESPECIAL 1/4 *
1378,ZARCAO SOLVENTEX 9002 ESPECIAL 18 LT *
1117,ZARCAO SOLVENTEX 969 PRETO 1/4 *
11801,ZARCAO SPRAY 400ML MUNDIAL PRIME
431,ARAME GALVANIZADO N 12 RODA DE 1KG *
3334,ARAME GALVANIZADO N. 14 10 METROS *
427,ARAME FARPADO 100 METROS FIO 18*
428,ARAME FARPADO 250 METROS FIO 18 *
5775,CONCERTINA ARAME ESPIRAL LAMIN. 300 MM 08 MT *
147,KIT CONCERTINA ARAME ESPIRAL + SUPORTE LAMIN. 300 MM 10 MT
438,"ARAME QUEIMADO P/AMARRACAO 1,24 MM ( 18 )"
1882,"ARAME TORCIDO QUEIMADO P/AMARRACAO 1,24 MM ( 18 )"
271,CADEADO PADO 30/50 MM *
4728,CADEADO PADO 50 MM *
263,CADEADO PAPAIZ 20 MM *
272,CADEADO PAPAIZ 30/70 MM *
270,CADEADO PAPAIZ CRT 50 MM * TETRA
276,CADEADO STAM 20 MM *
1646,CADEADO STAM 25 MM C/ SEGREDO *
6127,CILINDRO 90MM BUZIOS
456,CILINDRO STAM 803/804/1801 (C/PARAF.) - CROMADO
718,MACANETA STAM
1274,DOBRADICA C1001FG 1.1/2'' *
1275,DOBRADICA C1001FG 2'' *
1276,DOBRADICA C1001FG 2.1/2'' *
1278,DOBRADICA C1001FG 3'' X 2.1/2'' *
1279,DOBRADICA C1001FG 3.1/2' C/3PÇS
1281,DOBRADICA LATAO 1001 3 X 2.1/2 *
3370,DOBRADICA PORTA 1001 3'' X 2.1/2 C/3PC FG *
1389,DOBRADICA PORTA 1001 3'' X 3'' C/3PÇ FG *
1388,DOBRADICA PORTA 1001 3.1/2'' C/3 FG *
1390,DOBRADICA PORTA 1001 3.1/2'' X 3'' C/3PÇ FG *
1382,DOBRADICA PORTA 1001FG 1.1/2'' C/3 PÇ *
11055,DOBRADICA PORTA 1001FOE  3'' X 3'' C/3PÇ  *
1441,DOBRADICA PORTA 1003 3'' X 2.1/2'' FOE 3 PÇS *
1440,DOBRADICA PORTA 1003 3.1/2'' C/3PÇ FOE *
1394,DOBRADICA PORTA 1003A 3'' 1/2 C/ 3 PÇS FOE *
1392,DOBRADICA PORTA 1007 3'' X 2.1/2'' C/3PÇ FOEA-3 *
1393,DOBRADICA PORTA 1007 3.1/2 X 3'' C/3PÇ FOEA *
10588,DOBRADICA PORTA LOX 3.1/2X3 3PÇ
1383,DOBRADICA PORTA S1001FG 2'' C/3PÇ
1384,DOBRADICA PORTA S1001FG 2.1/2'' C/3PC *
1376,DOBRADICA PORTAO C401FOE 25CM *
10586,DOBRADICA PORTAO CHUMB. FOE25
10590,DOBRADICA PORTAO FOE 20
1377,DOBRADICA PORTAO HSC 401 20CM *
5755,DOBRADICA PORTAO HSP 402 20CM *
1091,PORTA CADEADO 448 FG 50MM X 19 MM 1''1/2 *
1089,PORTA CADEADO 451 FG 65MM X 25MM *
2347,PORTA CADEADO 453 FG 3'' 85MM X 32MM *
1093,PORTA CADEADO 454 FG 90MM X 38MM 3.1/2'' *
1094,"PORTA CADEADO 455 FG 115MM X 44MM 4"".1/2 *"
1095,"PORTA CADEADO 456 FG 5.1/2' X 139,7 MM' *"
1092,PORTA CADEADO FG 2'' *
1273,CADEADO AUTOMATICO REF 301 TETRA SAO SALVADOR *
2273,CADEADO AUTOMATICO REF 901 SAO SALVADOR *
2105,CADEADO MINI TETRA SAO SALVADOR REF 701 *
6060,CADEADO PORTA AÇO DOVALE KING VERDE
6055,CINTA E CATRACA AUTOMATICA 600KG 2.50 CM X 3M
5664,FECHADURA 3F ( BICO PAPAGAIO ) *
5663,FECHADURA 3F 501 *
171,FECHADURA 3F P/ VITRINE 140 MM *
3584,FECHADURA DE PORTAO 3F *
5833,FECHADURA DE PORTAO SOBREPOR TETRA 3F *
518,FECHADURA PAPAIZ 140 2 VOLTAS *
519,FECHADURA PAPAIZ 142 4 VOLTAS *
523,FECHADURA STAM 1001 2 VOLTAS *
1623,FECHADURA STAM 1001 2 VOLTAS COLONIAL *
524,FECHADURA STAM 1002 3 VOLTAS *
525,FECHADURA STAM 1003 ESP INOX *
5789,FECHADURA STAM 1006 PORTA BATER/CORRER ROS. QUAD. CROMADA *
5790,FECHADURA STAM 1006 PORTA BATER/CORRER ROS. RED. INOX *
6068,FECHADURA STAM 1006S - PORTA DE CORRER - BANHEIRO - CLASSIC
529,FECHADURA STAM 1008 BATER CORRER INOX
526,FECHADURA STAM 1201 PORTA DE ACO *
2049,FECHADURA STAM 1500/06 COLONIAL TETRA *
545,FECHADURA STAM 1501/06 COLONIAL *
2028,FECHADURA STAM 1501/09 ESP INOX *
546,FECHADURA STAM 1601/10 INOX
3405,FECHADURA STAM 1601/10 LARGO OXIDADO *
11049,FECHADURA STAM 1701/100 3P PORTAO  CHAVE TETRA
325,FECHADURA STAM 1701/100 PORTAO CHAVE TETRA *
2034,FECHADURA STAM 1800/17 BRANCO *
2029,FECHADURA STAM 1800/17 GRAFITE ( TETRA ) *
4959,FECHADURA STAM 1800/21 ACETINADO ( TETRA ) *
2031,FECHADURA STAM 1800/21 ESCOVADO ( TETRA ) *
2032,FECHADURA STAM 1800/21 INOX ( TETRA ) *
2030,FECHADURA STAM 1800/21 OXIDADO ( TETRA ) *
2033,FECHADURA STAM 1803/19 ESP INOX. *
530,FECHADURA STAM 201 PORTA DE ACO *
532,FECHADURA STAM 501/03-02 ESP INOX *
313,FECHADURA STAM 502/03-02 BRANCA *
1511,FECHADURA STAM 601/602/03-02 INOX BRANCA *
4893,FECHADURA STAM 603/07 BUZ 90 MM ( BRANCA ) *
3965,FECHADURA STAM 603/07 BUZ ESP INOX *
6104,FECHADURA STAM 603/11 1/2 MAÇANETA BRANCA
6103,FECHADURA STAM 603/11 1/2 MAÇANETA INOX
536,FECHADURA STAM 701 *
11051,FECHADURA STAM 701/100 3PONTAS INOX
539,FECHADURA STAM 803/03-02 GRAFITE *
490,FECHADURA STAM 803/03-02 INOX BRANCA *
540,FECHADURA STAM 803/03-02 OXIDADO *
538,FECHADURA STAM 803/03-04 COLONIAL *
541,FECHADURA STAM 813 COLONIAL P/ QUARTO *
542,FECHADURA STAM 813/03 P/ QUARTO *
543,FECHADURA STAM 823 P/ BANHEIRO *
544,FECHADURA STAM 901 ( BICO PAPAGAIO ) *
2230,FECHADURA STAM ELETRICA CIL 40 (ABRE P/ DENTRO) *
3684,KIT FECHADURA STAM 1500/06 COLONIAL TETRA *
2232,TRAVA INTERNA S SALVADOR 101 S/CHAVE *
3674,TRAVA LATERAL FERRO - DOVALE
3261,TRAVA LATERAL TETRA 1001/3 AL (VERMELHA) SÃO SALVADOR *
3262,TRAVA LATERAL TETRA 1001/4 FF (PRETA) SÃO SALVADOR *
3245,FECHO FIO REDONDO 1/2 X 10'' *
5759,"FECHO FIO REDONDO FG 2"" *"
945,FECHO FIO REDONDO FG 3'' *
2047,"FECHO FIO REDONDO JOCEC 1/4 X 3"" *"
944,"FECHO FIO REDONDO JOCEC 5/16 X 5"" *"
2043,FERROLHO 1/2 X 10
2042,"FERROLHO 1/2"" X 12"" *"
123133676,TRANQUETA CARACOL ( COMPLETA ) *
123133678,TRANQUETA DE FERRO ( COMPLETA ) *
2185,TRANQUETA ZINC 86108/2 ALIANÇA
3373,TRINCO CHATO ZINCADO 40 MM *
1782,TRINCO LARGO ZINCADO 1.1/2'' *
1239,TRINCO LARGO ZINCADO 2'' * ( 100010 )
1240,TRINCO LARGO ZINCADO 3'' *
1783,TRINCO LARGO ZINCADO 4'' * ( 100012)
1248,TRINCO TARJETA 38MM *
10486,ROD 6X2 ANDAIME C/FREIO PU-ESFERA (4058)
10488,ROD 6X2 ANDAIME C/FREIO PVC (3797)
10482,RODIZIO 1.1/2 GIR. PL  RODA PP (5077)
10480,RODIZIO 1.1/4 GIR. PL  RODA PP (2796)
10484,RODIZIO 1.5/8 GIR. PL  RODA PP (2797)
2186,RODIZIO ALIANÇA HASTE ROSQUEADA *
1370,RODIZIO C/ CASTANHA 1 *
1367,RODIZIO C/ CASTANHA DUPLO 1 *
1368,RODIZIO CHUMBADO 1 *
3944,"RODIZIO DUPLO 1"" C/CHAPA *"
2165,"RODIZIO DUPLO 1.1/2"" C/CHAPA * (000421)*"
6078,RODIZIO FIXO 158 PR CORAL C PLA 60X43 BP (6234) ATE 30KG
6087,RODIZIO FIXO 210 PR CORAL C PL 72X52 RODA BP (6237) ATE 50KG
6093,RODIZIO FIXO 312 PRETO CORAL C PL 80X105 RODA BP (6240) ATE
133,RODIZIO FIXO PLACA SFPL 210 BP * ATE 30KG
137,RODIZIO FIXO PLACA SFPL 312 BP * ATE 60KG
64,RODIZIO FIXO PLACA SFPL 412 BP * ATE 65KG
135,RODIZIO FIXO ROSCA EXT SFRE 210 BP * ATE 30KG
139,RODIZIO FIXO ROSCA EXT SFRE 312 BP * ATE 60KG
66,RODIZIO FIXO ROSCA EXT.SFRE 412 BP * ATE 65KG
