idsubproduto,descricaoproduto
3955,MANILHA RETA (6) 7/8'' P/ CABO DE ACO *
3954,MANILHA RETA (7) 1'' P/ CABO DE ACO *
1031,BROCA ACO CARBONO 1/2 *
14,BROCA CHATA 6.1/8 - (01) 1/4'' (P/ MADEIRA) *
946,BROCA CHATA 6.1/8 - (02) 5/16'' (P/ MADEIRA) *
15,BROCA CHATA 6.1/8 - (03) 3/8'' (P/ MADEIRA) *
18,BROCA CHATA 6.1/8 - (04) 7/16'' (P/MADEIRA) *
1438,BROCA CHATA 6.1/8 - (05) 1/2'' (P/ MADEIRA) *
16,BROCA CHATA 6.1/8 - (06) 5/8'' (P/MADEIRA) *
19,BROCA CHATA 6.1/8 - (07) 3/4'' (P/MADEIRA) *
22,BROCA CHATA 6.1/8 - (08) 7/8'' (P/MADEIRA) *
1254,BROCA CHATA 6.1/8 - (09) 1'' ( P/ MADEIRA ) *
21,BROCA CHATA 6.1/8 - (10) 1.1/4'' (P/MADEIRA) *
1063,BROCA CONCRETO 10MM (13/32) *
646,BROCA CONCRETO EXTRA LONGA 330 MM X 1/2 *
645,BROCA CONCRETO EXTRA LONGA 330 MM X 1/4 *
651,BROCA CONCRETO EXTRA LONGA 330 MM X 15/32 *
23,BROCA CONCRETO EXTRA LONGA 330 MM X 3/8 *
3280,BROCA CONCRETO EXTRA LONGA 330 MM X 5/16 *
24,BROCA CONCRETO LONGA 250 MM X 1/2 *
25,BROCA CONCRETO LONGA 250 MM X 1/4 *
3752,BROCA CONCRETO LONGA 250 MM X 3/8 *
1971,BROCA CONCRETO LONGA 250 MM X 5/16 *
5965,BROCA CONCRETO LONGA 300 MM X 1/2 (DIAMANTE AZUL)
1034,BROCA DE ACO RAPIDO (01) - 1/16 *
1036,BROCA DE ACO RAPIDO (02) - 3/32 *
1035,BROCA DE ACO RAPIDO (03) - 5/64 *
1037,BROCA DE ACO RAPIDO (04) - 7/64 *
1038,BROCA DE ACO RAPIDO (05) - 1/8 *
1039,BROCA DE ACO RAPIDO (06) - 9/64 *
1040,BROCA DE ACO RAPIDO (07) - 5/32 *
1041,BROCA DE ACO RAPIDO (08) - 11/64 *
1042,BROCA DE ACO RAPIDO (09) - 3/16 *
1043,BROCA DE ACO RAPIDO (10) - 13/64 *
1044,BROCA DE ACO RAPIDO (11) - 7/32 *
1045,BROCA DE ACO RAPIDO (12) - 15/64 *
