idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
705,LUVA GALVANIZADA 1.1/2 REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
706,LUVA GALVANIZADA 1.1/4'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
707,LUVA GALVANIZADA 1/2'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
708,LUVA GALVANIZADA 2'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
709,LUVA GALVANIZADA 2.1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
710,LUVA GALVANIZADA 3/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
831,NIPEL GALVANIZADO 1'' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
832,NIPEL GALVANIZADO 1.1/2 H MECH *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
833,NIPEL GALVANIZADO 1.1/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
834,NIPEL GALVANIZADO 1/2'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
835,NIPEL GALVANIZADO 2'' H MECH *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
836,NIPEL GALVANIZADO 2.1/2 TUPY *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
837,NIPEL GALVANIZADO 3/4,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1100,REGISTRO DE ESFERA 1'' C/ ALAVANCA *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1098,REGISTRO DE ESFERA 1/2 C/ ALAVANCA *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1099,REGISTRO DE ESFERA 3/4 C/ ALAVANCA *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1104,REGISTRO GAVETA 1510 1'' DECA *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1101,REGISTRO GAVETA 1510 1/2 DECA *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1103,REGISTRO GAVETA 1510 3/4 DECA *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3005,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1'' ( CAP GALV ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3006,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1.1/2 ( CAP GALV ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
