idsubproduto,nome_produto,n_lacunas,lacunas
10732,BOTA SEG CADARC ANTI-CHAMAS Nº 41 PRETA MARLUVAS,4,especificacao_tecnica;pagina_web;manual;fotos
10734,BOTA SEG CADARC ANTI-CHAMAS Nº 42 PRETA MARLUVAS,4,especificacao_tecnica;pagina_web;manual;fotos
10736,BOTA SEG CADARC NOBUK PRETO Nº 43 MARLUVAS,4,especificacao_tecnica;pagina_web;manual;fotos
10738,ESCADA ART 13 EM 1 ALUMINIO,4,especificacao_tecnica;pagina_web;manual;fotos
10740,ESCADA ART 13 EM 1 ALUMINIO 5X4 DE,4,especificacao_tecnica;pagina_web;manual;fotos
10742,ESCADA DOMESTICA ALUMINIO 5 DE BFT 0064,4,especificacao_tecnica;pagina_web;manual;fotos
10744,ESCADA DOMESTICA ALUMINIO 7DE BFT 0066,4,especificacao_tecnica;pagina_web;manual;fotos
10746,ESCADA DOMESTICA ALUMINIO 9DE BFT 0068,4,especificacao_tecnica;pagina_web;manual;fotos
10748,ESCADA EXTENSIVA ALUMINIO 12X2 DE 00621,4,especificacao_tecnica;pagina_web;manual;fotos
10752,ESCADA EXTENSIVA ALUMINIO 8X2 DE 00617,4,especificacao_tecnica;pagina_web;manual;fotos
10754,ESCADA EXTENSIVA TRIPLA  ALUMINIO 9X3 DE 00709,4,especificacao_tecnica;pagina_web;manual;fotos
10756,ESCADA FIBRA EXTENSIVEL PRATICA 13DE 9913 - SAIU DE LINHA,4,especificacao_tecnica;pagina_web;manual;fotos
10758,ESCADA FIBRA EXTENSIVEL PRATICA 19DE 9919,4,especificacao_tecnica;pagina_web;manual;fotos
10760,ESCADA FIBRA TESOURA PRATICA 8DE BTF 9903,4,especificacao_tecnica;pagina_web;manual;fotos
10770,ESMERILHADEIRA 5 PNEUMATICA,4,especificacao_tecnica;pagina_web;manual;fotos
10778,TINTA ESMALTE CORALIT ULTRA RESISTENCIA,4,especificacao_tecnica;pagina_web;manual;fotos
10782,DESINCRUSTADOR PNEUMATICO DE AGULHAS,4,especificacao_tecnica;pagina_web;manual;fotos
10890,BOTA SEG CADARC ANTI-CHAMAS Nº 40 PRETA MARLUVAS,4,especificacao_tecnica;pagina_web;manual;fotos
10894,PARAFUSADEIRA A BATERIA C/ CORTADOR DE CHAPA- TITANIUM,4,especificacao_tecnica;pagina_web;manual;fotos
10904,PNEU TRATOR S/ CAMARA,4,especificacao_tecnica;pagina_web;manual;fotos
10925,TELHA GALVALUME OND 6MT EMP2,4,especificacao_tecnica;pagina_web;manual;fotos
10973,TELHA GALV TRAP PINTADA PRETA 01 FACE MT,4,especificacao_tecnica;pagina_web;manual;fotos
10975,TELHA ENC PINTADA LARANJA 2 FACES - EMP2,4,especificacao_tecnica;pagina_web;manual;fotos
10979,CHUMBADORQ. BICOMPONENTEAMPOLA12MM EMP2,4,especificacao_tecnica;pagina_web;manual;fotos
11025,REBITE CARTELA 308 (429) C/100 PC,4,especificacao_tecnica;pagina_web;manual;fotos
11035,REBITE CARTELA 410 (540) C/100 PC,4,especificacao_tecnica;pagina_web;manual;fotos
11049,FECHADURA STAM 1701/100 3P PORTAO  CHAVE TETRA,4,especificacao_tecnica;pagina_web;manual;fotos
11121,CHAPA PRETA 24 = 2 X 1 EMP2,4,especificacao_tecnica;pagina_web;manual;fotos
11129,ESCADA PARALELA DE ALUMINIO 10DE - 0608,4,especificacao_tecnica;pagina_web;manual;fotos
1113,ZARCAO SOLVENTEX 1/4 564 VERDE,4,especificacao_tecnica;pagina_web;manual;fotos
11131,ESCADA PARALELA DE ALUMINIO 12DE - 0610,4,especificacao_tecnica;pagina_web;manual;fotos
11133,ESCADA PARALELA DE ALUMINIO 14DE - 0612,4,especificacao_tecnica;pagina_web;manual;fotos
11137,"INVERSORA ESAB BANTAM 2,50 BIVOLT",4,especificacao_tecnica;pagina_web;manual;fotos
1114,ZARCAO SOLVENTEX 1/4 990 VERM *,4,especificacao_tecnica;pagina_web;manual;fotos
11147,CAMPAINHA SEM FIO BIVOLT FX CAD 3,4,especificacao_tecnica;pagina_web;manual;fotos
1115,ZARCAO SOLVENTEX 9002 ESPECIAL 1/4 *,4,especificacao_tecnica;pagina_web;manual;fotos
11151,"FF ROSACEA FLOR DE LIRIO 13,5",4,especificacao_tecnica;pagina_web;manual;fotos
